City,Area,total_sqft,BHK,Parking,AC,Wifi,Lift,Security,Price,Price_per_sqft
Banglore,Ramamurthy Nagar,1292,2,0,0,0,1,1,62.1,4807.0
Banglore,Kadugodi,1185,2,0,0,0,0,1,55.57,4689.0
Banglore,Kadugodi,2540,3,0,0,0,0,1,119.0,4685.0
Banglore,Kadugodi,1650,3,0,0,0,0,1,77.38,4690.0
Banglore,Kadugodi,1355,2,0,0,0,0,1,63.54,4689.0
Banglore,Kadugodi,600,1,0,0,0,0,1,28.14,4690.0
Banglore,Kadugodi,1165,2,0,0,0,0,1,54.63,4689.0
Banglore,Kadugodi,1590,3,0,0,0,0,1,74.56999,4690.0
Banglore,Kadugodi,1155,2,0,0,0,0,1,54.16,4689.0
Banglore,Kadugodi,2495,3,0,0,0,0,1,117.0,4689.0
Banglore,Kadugodi,1195,2,0,0,0,0,1,56.04,4690.0
Banglore,Kadugodi,1530,3,0,0,0,0,1,71.75,4690.0
Banglore,Kadugodi,1600,3,0,0,0,0,1,75.04,4690.0
Banglore,Kadugodi,1200,2,0,0,0,0,1,56.28,4690.0
Banglore,Nagarbhavi,884,2,0,0,0,0,0,52.0,5882.0
Banglore,Nagarbhavi,884,2,0,0,0,1,0,52.0,5882.0
Banglore,Other,1120,2,1,0,0,1,1,63.85,5701.0
Banglore,Other,1005,2,1,0,0,0,1,65.31999,6500.0
Banglore,Other,1455,3,1,0,0,0,1,94.57,6500.0
Banglore,Other,1390,3,1,0,0,0,1,90.35,6500.0
Banglore,Other,1025,2,1,0,0,0,1,66.62,6500.0
Banglore,Other,1105,2,1,0,0,0,1,71.81999,6500.0
Banglore,Other,1135,2,1,0,0,0,1,73.77,6500.0
Banglore,Whitefield Hope Farm Junction,1425,3,1,0,0,0,1,71.25,5000.0
Banglore,Other,1125,2,1,0,0,1,1,63.89,5679.0
Banglore,Other,1125,2,1,0,0,1,1,64.59,5741.0
Banglore,ITPL,2021,3,1,0,0,1,0,118.0,5839.0
Banglore,ITPL,1971,3,1,0,0,1,0,115.0,5835.0
Banglore,ITPL,1354,2,1,0,0,1,0,79.2,5849.0
Banglore,ITPL,1845,3,1,0,0,1,0,107.0,5799.0
Banglore,ITPL,1823,3,1,0,0,1,0,106.0,5815.0
Banglore,ITPL,1447,2,1,0,0,1,0,84.64,5849.0
Banglore,ITPL,1399,2,1,0,0,1,0,81.84,5850.0
Banglore,ITPL,1735,3,1,0,0,1,0,101.0,5821.0
Banglore,ITPL,1398,2,1,0,0,1,0,81.78,5850.0
Banglore,ITPL,1940,3,1,0,0,1,0,112.99999,5825.0
Banglore,ITPL,1743,3,1,0,0,1,0,101.0,5795.0
Banglore,ITPL,1417,2,1,0,0,1,0,82.89,5850.0
Banglore,ITPL,1343,2,1,0,0,1,0,78.56,5850.0
Banglore,ITPL,1411,2,1,0,0,1,0,82.54,5850.0
Banglore,ITPL,1337,2,1,0,0,1,0,78.20999,5850.0
Banglore,ITPL,2010,3,1,0,0,1,0,117.0,5821.0
Banglore,ITPL,1797,3,1,0,0,1,0,105.0,5843.0
Banglore,ITPL,1768,3,1,0,0,1,0,103.0,5826.0
Banglore,JP Nagar Phase 8,990,2,0,0,0,0,0,44.55,4500.0
Banglore,JP Nagar Phase 8,1090,2,0,0,0,0,0,49.05,4500.0
